12,0.0377,5.39,1693692004.2528856
8,0.0252,5.36,1693692019.7564867
12,0.0377,5.34,1693692035.2620893
20,0.0629,5.36,1693692050.7658086
28,0.0881,5.34,1693692066.2705069
20,0.0629,5.36,1693692081.7740567
36,0.1132,5.34,1693692097.277657
24,0.0755,5.34,1693692112.782266
8,0.0252,5.36,1693692128.2847602
36,0.1132,5.34,1693692143.7894115
32,0.1006,5.36,1693692159.2940342
20,0.0629,5.34,1693692174.7976358
12,0.0377,5.36,1693692190.301146
28,0.0881,5.36,1693692205.8057127
24,0.0755,5.39,1693692221.3092399
4,0.0126,5.31,1693692236.81172
40,0.1258,5.34,1693692252.3173373
28,0.0881,5.31,1693692267.8208644
28,0.0881,5.39,1693692283.3244503
12,0.0377,5.34,1693692298.8289988
32,0.1006,5.36,1693692314.3324416
24,0.0755,5.34,1693692329.8359733
4,0.0126,5.36,1693692345.3394055
20,0.0629,5.31,1693692360.8439703
20,0.0629,5.34,1693692376.3485096
24,0.0755,5.34,1693692391.8530626
24,0.0755,5.34,1693692407.3564749
32,0.1006,5.34,1693692422.8610318
32,0.1006,5.34,1693692438.3654764
28,0.0881,5.31,1693692453.8690307
32,0.1006,5.39,1693692469.3735006
12,0.0377,5.34,1693692484.8770013
20,0.0629,5.34,1693692500.3804069
20,0.0629,5.34,1693692515.8848903
24,0.0755,5.36,1693692531.3883262
16,0.0503,5.31,1693692546.8918052
36,0.1132,5.34,1693692562.3962648
36,0.1132,5.34,1693692577.8997006
28,0.0881,5.34,1693692593.4031675
12,0.0377,5.31,1693692608.9076376
20,0.0629,5.31,1693692624.4110491
44,0.1384,5.36,1693692639.9144819
28,0.0881,5.31,1693692655.4189596
20,0.0629,5.39,1693692670.9223738
24,0.0755,5.34,1693692686.4261377
48,0.1509,5.34,1693692701.9302819
28,0.0881,5.34,1693692717.433695
40,0.1258,5.34,1693692732.937103
40,0.1258,5.36,1693692748.441555
32,0.1006,5.36,1693692763.9450371
24,0.0755,5.34,1693692779.4494095
32,0.1006,5.36,1693692794.953855
40,0.1258,5.36,1693692810.4572735
32,0.1006,5.36,1693692825.9616878
