CPM,uSv/h,Vcc,1693516053.9290442
24,0.0755,5.24,1693517557.2907798
28,0.0881,5.21,1693517572.7951488
24,0.0755,5.24,1693517588.2994728
4,0.0126,5.21,1693517603.801727
20,0.0629,5.24,1693517619.307159
32,0.1006,5.26,1693517634.8115065
20,0.0629,5.26,1693517650.31482
24,0.0755,5.29,1693517665.819173
32,0.1006,5.26,1693517681.322504
12,0.0377,5.24,1693517696.8258462
40,0.1258,5.19,1693517712.3301833
24,0.0755,5.29,1693517727.833513
40,0.1258,5.21,1693517743.3368251
32,0.1006,5.26,1693517758.8411763
16,0.0503,5.12,1693517774.3444526
48,0.1509,5.24,1693517789.8478076
12,0.0377,5.21,1693517805.3521388
24,0.0755,5.24,1693517820.855485
12,0.0377,5.21,1693517836.3587954
16,0.0503,5.21,1693517851.8631377
20,0.0629,5.21,1693517867.366429
28,0.0881,5.19,1693517882.8697686
24,0.0755,5.21,1693517898.3741212
20,0.0629,5.21,1693517913.8774486
16,0.0503,5.24,1693517929.3807814
20,0.0629,5.21,1693517944.8851392
32,0.1006,5.21,1693517960.388403
8,0.0252,5.21,1693517975.8917356
16,0.0503,5.19,1693517991.3971019
44,0.1384,5.21,1693518006.900414
40,0.1258,5.26,1693518022.404765
16,0.0503,5.21,1693518037.9090793
28,0.0881,5.24,1693518053.4124012
24,0.0755,5.21,1693518068.9167497
36,0.1132,5.26,1693518084.4200602
20,0.0629,5.24,1693518099.9233763
36,0.1132,5.21,1693518115.4277363
24,0.0755,5.24,1693518130.9310524
28,0.0881,5.21,1693518146.4343357
24,0.0755,5.26,1693518161.9386814
24,0.0755,5.24,1693518177.442004
40,0.1258,5.21,1693518192.945319
20,0.0629,5.29,1693518208.449676
12,0.0377,5.26,1693518223.9529836
20,0.0629,5.24,1693518239.456288
16,0.0503,5.24,1693518254.9606466
20,0.0629,5.29,1693518270.46392
32,0.1006,5.21,1693518285.9672534
24,0.0755,5.19,1693518301.4716609
12,0.0377,5.24,1693518316.974895
48,0.1509,5.26,1693518332.4782102
16,0.0503,5.24,1693518347.982579
24,0.0755,5.17,1693518363.4858713
44,0.1384,5.31,1693518378.9902215
32,0.1006,5.21,1693518394.4945614
20,0.0629,5.24,1693518409.9978578
8,0.0252,5.21,1693518425.5011015
16,0.0503,5.19,1693518441.006513
32,0.1006,5.19,1693518456.5098493
24,0.0755,5.21,1693518472.014158
36,0.1132,5.19,1693518487.517493
28,0.0881,5.24,1693518503.020801
24,0.0755,5.24,1693518518.5251548
44,0.1384,5.24,1693518534.028448
28,0.0881,5.26,1693518549.5317876
28,0.0881,5.21,1693518565.0361042
28,0.0881,5.21,1693518580.5394008
28,0.0881,5.24,1693518596.042728
24,0.0755,5.21,1693518611.547071
32,0.1006,5.24,1693518627.050367
12,0.0377,5.24,1693518642.5536864
16,0.0503,5.24,1693518658.05803
8,0.0252,5.24,1693518673.560251
48,0.1509,5.26,1693518689.0646431
32,0.1006,5.24,1693518704.5689647
16,0.0503,5.26,1693518720.0721302
12,0.0377,5.21,1693518735.575132
28,0.0881,5.24,1693518751.0791717
36,0.1132,5.24,1693518766.582214
20,0.0629,5.12,1693518782.0862648
36,0.1132,5.21,1693518797.5903256
16,0.0503,5.21,1693518813.0934055
24,0.0755,5.24,1693518828.5974553
24,0.0755,5.29,1693518844.1016085
16,0.0503,5.19,1693518859.6046336
44,0.1384,5.24,1693518875.108717
24,0.0755,5.24,1693518890.6118329
24,0.0755,5.19,1693518906.1148088
16,0.0503,5.21,1693518921.6190205
32,0.1006,5.24,1693518937.1221182
24,0.0755,5.19,1693518952.6252031
8,0.0252,5.26,1693518968.1282725
24,0.0755,5.24,1693518983.6323414
24,0.0755,5.29,1693518999.1355565
28,0.0881,5.26,1693519014.6397314
44,0.1384,5.26,1693519030.142839
24,0.0755,5.24,1693519045.645948
24,0.0755,5.24,1693519061.1501808
16,0.0503,5.31,1693519076.6532202
24,0.0755,5.24,1693519092.1563823
40,0.1258,5.26,1693519107.6605248
36,0.1132,5.21,1693519123.163729
20,0.0629,5.24,1693519138.6668284
36,0.1132,5.24,1693519154.1710489
28,0.0881,5.21,1693519169.6741655
16,0.0503,5.24,1693519185.1783712
