CPM,uSv/h,Vcc,1693516053.9290442
32,0.1006,5.19,1693516068.9302351
16,0.0503,5.21,1693516084.433658
36,0.1132,5.29,1693516099.9379895
12,0.0377,5.21,1693516115.4413056
8,0.0252,5.29,1693516130.9435244
28,0.0881,5.29,1693516146.4489398
36,0.1132,5.24,1693516161.9522688
36,0.1132,5.24,1693516177.455557
32,0.1006,5.24,1693516192.9598985
8,0.0252,5.19,1693516208.462149
20,0.0629,5.24,1693516223.9665093
20,0.0629,5.24,1693516239.4708388
36,0.1132,5.29,1693516254.9741287
24,0.0755,5.21,1693516270.477459
32,0.1006,5.31,1693516285.9817905
32,0.1006,5.24,1693516301.485072
36,0.1132,5.24,1693516316.9884002
20,0.0629,5.24,1693516332.4927275
24,0.0755,5.24,1693516347.996041
24,0.0755,5.24,1693516363.5003624
8,0.0252,5.24,1693516379.003681
24,0.0755,5.24,1693516394.5080156
48,0.1509,5.21,1693516410.0123239
28,0.0881,5.21,1693516425.5166736
44,0.1384,5.21,1693516441.020047
12,0.0377,5.24,1693516456.5242798
36,0.1132,5.21,1693516472.027651
44,0.1384,5.24,1693516487.53089
16,0.0503,5.21,1693516503.0352604
28,0.0881,5.26,1693516518.5385249
12,0.0377,5.29,1693516534.041823
20,0.0629,5.24,1693516549.546179
44,0.1384,5.21,1693516565.0494618
28,0.0881,5.21,1693516580.5526812
12,0.0377,5.21,1693516596.0570858
8,0.0252,5.24,1693516611.5593224
24,0.0755,5.24,1693516627.0637167
8,0.0252,5.24,1693516642.5669398
16,0.0503,5.21,1693516658.0713177
44,0.1384,5.29,1693516673.574673
16,0.0503,5.24,1693516689.0791464
16,0.0503,5.21,1693516704.5825546
28,0.0881,5.21,1693516720.0859485
36,0.1132,5.21,1693516735.5903687
28,0.0881,5.26,1693516751.0937955
16,0.0503,5.19,1693516766.5981977
40,0.1258,5.26,1693516782.1026263
12,0.0377,5.21,1693516797.6060212
36,0.1132,5.24,1693516813.1104124
40,0.1258,5.19,1693516828.614841
28,0.0881,5.24,1693516844.1182344
20,0.0629,5.24,1693516859.6226292
32,0.1006,5.21,1693516875.1260052
24,0.0755,5.29,1693516890.6293948
32,0.1006,5.24,1693516906.1337829
20,0.0629,5.21,1693516921.637179
36,0.1132,5.24,1693516937.1405394
28,0.0881,5.21,1693516952.6449285
28,0.0881,5.26,1693516968.1483114
20,0.0629,5.17,1693516983.6517096
12,0.0377,5.21,1693516999.1560538
28,0.0881,5.21,1693517014.6594348
20,0.0629,5.26,1693517030.1627934
20,0.0629,5.21,1693517045.6671867
28,0.0881,5.21,1693517061.1705418
36,0.1132,5.24,1693517076.673903
20,0.0629,5.24,1693517092.1783023
28,0.0881,5.19,1693517107.6816525
28,0.0881,5.26,1693517123.185007
24,0.0755,5.29,1693517138.6893625
20,0.0629,5.24,1693517154.1927083
16,0.0503,5.24,1693517169.6971023
40,0.1258,5.21,1693517185.2014706
24,0.0755,5.24,1693517200.7048368
8,0.0252,5.21,1693517216.208129
20,0.0629,5.24,1693517231.7135596
16,0.0503,5.26,1693517247.2169216
8,0.0252,5.21,1693517262.7202022
16,0.0503,5.24,1693517278.224677
28,0.0881,5.24,1693517293.7279913
20,0.0629,5.21,1693517309.2323205
32,0.1006,5.19,1693517324.7357113
24,0.0755,5.19,1693517340.2390096
40,0.1258,5.21,1693517355.7433672
20,0.0629,5.24,1693517371.2466967
12,0.0377,5.24,1693517386.7500293
16,0.0503,5.21,1693517402.2544167
36,0.1132,5.21,1693517417.7577178
16,0.0503,5.24,1693517433.2610786
24,0.0755,5.29,1693517448.7654133
40,0.1258,5.19,1693517464.2687538
36,0.1132,5.24,1693517479.772088
20,0.0629,5.21,1693517495.2765005
32,0.1006,5.31,1693517510.7797997
32,0.1006,5.21,1693517526.2830992
20,0.0629,5.21,1693517541.7874475
