CPM,uSv/h,Vcc,1693687229.617458
28,0.0881,5.34,1693690841.4604907
8,0.0252,5.39,1693690856.963725
48,0.1509,5.34,1693690872.4680176
20,0.0629,5.36,1693690887.971272
16,0.0503,5.34,1693690903.4755185
28,0.0881,5.34,1693690918.9787397
16,0.0503,5.39,1693690934.482027
24,0.0755,5.31,1693690949.9862564
44,0.1384,5.36,1693690965.4895046
28,0.0881,5.36,1693690980.9927585
40,0.1258,5.36,1693690996.497089
20,0.0629,5.34,1693691012.0002613
24,0.0755,5.34,1693691027.5034914
16,0.0503,5.36,1693691043.0077596
24,0.0755,5.36,1693691058.5110035
32,0.1006,5.34,1693691074.014251
24,0.0755,5.39,1693691089.5184832
32,0.1006,5.34,1693691105.02163
8,0.0252,5.36,1693691120.5238924
48,0.1509,5.36,1693691136.0292647
24,0.0755,5.34,1693691151.5324988
8,0.0252,5.34,1693691167.0357
12,0.0377,5.34,1693691182.5410545
24,0.0755,5.36,1693691198.0442383
16,0.0503,5.34,1693691213.5485153
24,0.0755,5.34,1693691229.0527647
12,0.0377,5.34,1693691244.5560277
32,0.1006,5.34,1693691260.0603435
20,0.0629,5.36,1693691275.5635235
44,0.1384,5.36,1693691291.0667727
32,0.1006,5.34,1693691306.5710378
32,0.1006,5.36,1693691322.0742683
36,0.1132,5.36,1693691337.5775
24,0.0755,5.34,1693691353.0817633
20,0.0629,5.34,1693691368.585084
28,0.0881,5.34,1693691384.0882554
16,0.0503,5.36,1693691399.5925326
20,0.0629,5.31,1693691415.095764
36,0.1132,5.36,1693691430.599017
28,0.0881,5.34,1693691446.10325
28,0.0881,5.39,1693691461.6064947
24,0.0755,5.36,1693691477.1097362
24,0.0755,5.39,1693691492.6140234
36,0.1132,5.34,1693691508.1172671
24,0.0755,5.36,1693691523.6204956
20,0.0629,5.34,1693691539.1250286
36,0.1132,5.34,1693691554.6290329
28,0.0881,5.34,1693691570.1340187
32,0.1006,5.39,1693691585.6390908
28,0.0881,5.34,1693691601.1430588
32,0.1006,5.36,1693691616.6480753
20,0.0629,5.34,1693691632.1530774
36,0.1132,5.36,1693691647.6570535
36,0.1132,5.34,1693691663.1619716
48,0.1509,5.34,1693691678.6658504
12,0.0377,5.34,1693691694.169743
20,0.0629,5.39,1693691709.6746507
32,0.1006,5.31,1693691725.1784847
32,0.1006,5.34,1693691740.6823359
32,0.1006,5.36,1693691756.187181
40,0.1258,5.36,1693691771.690973
36,0.1132,5.36,1693691787.1948018
20,0.0629,5.34,1693691802.6995914
40,0.1258,5.39,1693691818.203375
28,0.0881,5.34,1693691833.7071369
16,0.0503,5.31,1693691849.2118955
28,0.0881,5.36,1693691864.715644
24,0.0755,5.39,1693691880.2193663
36,0.1132,5.36,1693691895.7241113
16,0.0503,5.34,1693691911.2278168
36,0.1132,5.39,1693691926.731499
32,0.1006,5.36,1693691942.2362204
28,0.0881,5.36,1693691957.7398875
28,0.0881,5.36,1693691973.2445688
44,0.1384,5.34,1693691988.7492492
